0.00	0.00	0.00
0.02	0.00	0.00
0.04	0.00	0.00
0.06	0.00	0.00
0.08	0.01	0.00
0.10	0.01	0.00
0.12	0.01	0.00
0.14	0.02	0.00
0.16	0.03	0.00
0.18	0.03	0.01
0.20	0.04	0.01
0.22	0.05	0.01
0.24	0.06	0.01
0.26	0.07	0.02
0.28	0.08	0.02
0.30	0.09	0.03
0.32	0.10	0.03
0.34	0.12	0.04
0.36	0.13	0.05
0.38	0.14	0.05
0.40	0.16	0.06
0.42	0.18	0.07
0.44	0.19	0.09
0.46	0.21	0.10
0.48	0.23	0.11
0.50	0.25	0.13
0.52	0.27	0.14
0.54	0.29	0.16
0.56	0.31	0.18
0.58	0.34	0.20
0.60	0.36	0.22
0.62	0.38	0.24
0.64	0.41	0.26
0.66	0.44	0.29
0.68	0.46	0.31
0.70	0.49	0.34
0.72	0.52	0.37
0.74	0.55	0.41
0.76	0.58	0.44
0.78	0.61	0.47
0.80	0.64	0.51
0.82	0.67	0.55
0.84	0.71	0.59
0.86	0.74	0.64
0.88	0.77	0.68
0.90	0.81	0.73
0.92	0.85	0.78
0.94	0.88	0.83
0.96	0.92	0.88
0.98	0.96	0.94
1.00	1.00	1.00
